V1.V,P(D1)/-P(V1) when R1.R is 95,P(D1)/-P(V1) when R1.R is 100,P(D1)/-P(V1) when R1.R is 105,I(D1.nA) when R1.R is 95,I(D1.nA) when R1.R is 100,I(D1.nA) when R1.R is 105
3.78,0.533766433,0.530819539,0.528061039,0.018551188,0.017735021,0.016989803
3.79,0.532685526,0.529738995,0.526981005,0.018643388,0.017822892,0.017073733
3.8,0.531609526,0.528663358,0.525905877,0.018735619,0.017910792,0.017157692
3.81,0.530538401,0.527592595,0.524835623,0.018827881,0.017998722,0.017241679
3.82,0.529472119,0.526526676,0.523770213,0.018920174,0.018086681,0.017325693
3.83,0.528410649,0.52546557,0.522709614,0.019012497,0.018174669,0.017409735
3.84,0.52735396,0.524409244,0.521653796,0.01910485,0.018262685,0.017493804
3.85,0.52630202,0.523357669,0.520602728,0.019197234,0.01835073,0.0175779
3.86,0.525254801,0.522310814,0.519556379,0.019289647,0.018438803,0.017662023
3.87,0.524212271,0.521268647,0.518514719,0.01938209,0.018526903,0.017746172
3.88,0.523174399,0.520231141,0.517477717,0.019474561,0.018615032,0.017830347
3.89,0.522141158,0.519198263,0.516445344,0.019567062,0.018703188,0.017914549
3.9,0.521112516,0.518169986,0.515417571,0.019659591,0.018791371,0.017998776
3.91,0.520088444,0.517146279,0.514394366,0.019752149,0.018879581,0.018083029
3.92,0.519068913,0.516127112,0.513375703,0.019844735,0.018967817,0.018167307
3.93,0.518053895,0.515112459,0.51236155,0.019937349,0.01905608,0.018251611
3.94,0.51704336,0.514102288,0.511351881,0.020029991,0.01914437,0.018335939
3.95,0.51603728,0.513096573,0.510346665,0.02012266,0.019232685,0.018420292
3.96,0.515035627,0.512095284,0.509345876,0.020215357,0.019321027,0.01850467
3.97,0.514038373,0.511098393,0.508349484,0.020308081,0.019409394,0.018589072
3.98,0.51304549,0.510105874,0.507357462,0.020400831,0.019497786,0.018673498
3.99,0.51205695,0.509117697,0.506369782,0.020493608,0.019586204,0.018757948
4,0.511072726,0.508133836,0.505386417,0.020586412,0.019674647,0.018842422
4.01,0.51009279,0.507154264,0.504407339,0.020679241,0.019763114,0.01892692
4.02,0.509117116,0.506178953,0.503432522,0.020772097,0.019851606,0.019011441
4.03,0.508145678,0.505207877,0.502461938,0.020864978,0.019940123,0.019095985
4.04,0.507178447,0.504241008,0.501495562,0.020957885,0.020028663,0.019180552
4.05,0.506215399,0.503278322,0.500533366,0.021050817,0.020117228,0.019265142
4.06,0.505256506,0.50231979,0.499575325,0.021143775,0.020205817,0.019349754
4.07,0.504301744,0.501365389,0.498621412,0.021236757,0.020294429,0.019434389
4.08,0.503351085,0.500415091,0.497671602,0.021329764,0.020383064,0.019519046
4.09,0.502404505,0.499468871,0.496725869,0.021422796,0.020471723,0.019603726
4.1,0.501461979,0.498526704,0.495784188,0.021515851,0.020560405,0.019688427
4.11,0.50052348,0.497588565,0.494846533,0.021608932,0.02064911,0.01977315
4.12,0.499588985,0.496654428,0.49391288,0.021702036,0.020737838,0.019857895
4.13,0.498658468,0.495724269,0.492983203,0.021795163,0.020826588,0.019942661
4.14,0.497731904,0.494798063,0.492057479,0.021888315,0.02091536,0.020027448
4.15,0.49680927,0.493875786,0.491135682,0.02198149,0.021004155,0.020112256
4.16,0.495890541,0.492957414,0.490217789,0.022074688,0.021092972,0.020197086
4.17,0.494975693,0.492042922,0.489303775,0.022167909,0.02118181,0.020281936
4.18,0.494064703,0.491132287,0.488393617,0.022261153,0.02127067,0.020366806
4.19,0.493157546,0.490225485,0.48748729,0.02235442,0.021359552,0.020451698
4.2,0.492254199,0.489322492,0.486584772,0.022447709,0.021448455,0.020536609
4.21,0.491354639,0.488423286,0.485686039,0.022541021,0.02153738,0.020621541
4.22,0.490458843,0.487527842,0.484791068,0.022634355,0.021626325,0.020706492
4.23,0.489566787,0.486636139,0.483899836,0.02272771,0.021715291,0.020791464
4.24,0.488678449,0.485748153,0.48301232,0.022821088,0.021804278,0.020876455
4.25,0.487793807,0.484863862,0.482128497,0.022914488,0.021893286,0.020961466
4.26,0.486912838,0.483983243,0.481248345,0.023007909,0.021982314,0.021046496
4.27,0.48603552,0.483106274,0.480371843,0.023101351,0.022071362,0.021131545
4.28,0.48516183,0.482232934,0.479498967,0.023194814,0.02216043,0.021216614
4.29,0.484291747,0.481363199,0.478629696,0.023288299,0.022249519,0.021301701
4.3,0.483425249,0.480497048,0.477764008,0.023381805,0.022338627,0.021386807
4.31,0.482562314,0.479634461,0.476901881,0.023475331,0.022427755,0.021471932
4.32,0.481702922,0.478775414,0.476043294,0.023568878,0.022516902,0.021557076
4.33,0.48084705,0.477919887,0.475188226,0.023662445,0.022606069,0.021642238
4.34,0.479994678,0.47706786,0.474336656,0.023756033,0.022695255,0.021727418
4.35,0.479145784,0.47621931,0.473488562,0.02384964,0.02278446,0.021812617
4.36,0.478300348,0.475374218,0.472643925,0.023943268,0.022873684,0.021897833
4.37,0.47745835,0.474532562,0.471802722,0.024036916,0.022962927,0.021983068
4.38,0.476619769,0.473694322,0.470964935,0.024130583,0.023052189,0.02206832
4.39,0.475784584,0.472859477,0.470130542,0.02422427,0.023141469,0.02215359
4.4,0.474952775,0.472028009,0.469299523,0.024317977,0.023230768,0.022238877
4.41,0.474124323,0.471199896,0.468471858,0.024411702,0.023320085,0.022324182
4.42,0.473299208,0.470375119,0.467647528,0.024505447,0.02340942,0.022409504
4.43,0.472477409,0.469553657,0.466826513,0.024599211,0.023498773,0.022494843
4.44,0.471658908,0.468735493,0.466008793,0.024692994,0.023588144,0.0225802
4.45,0.470843684,0.467920605,0.465194348,0.024786796,0.023677533,0.022665573
4.46,0.470031719,0.467108975,0.46438316,0.024880616,0.02376694,0.022750963
4.47,0.469222994,0.466300584,0.46357521,0.024974455,0.023856364,0.02283637
4.48,0.468417489,0.465495412,0.462770477,0.025068312,0.023945806,0.022921793
4.49,0.467615186,0.464693441,0.461968944,0.025162188,0.024035265,0.023007233
4.5,0.466816065,0.463894652,0.461170593,0.025256081,0.024124741,0.023092689
4.51,0.466020109,0.463099027,0.460375403,0.025349993,0.024214234,0.023178161
4.52,0.465227299,0.462306547,0.459583357,0.025443922,0.024303744,0.02326365
4.53,0.464437617,0.461517194,0.458794437,0.025537869,0.024393271,0.023349154
4.54,0.463651044,0.460730949,0.458008624,0.025631834,0.024482815,0.023434675
4.55,0.462867563,0.459947795,0.4572259,0.025725817,0.024572375,0.023520211
4.56,0.462087156,0.459167714,0.456446248,0.025819817,0.024661952,0.023605763
4.57,0.461309804,0.458390688,0.45566965,0.025913834,0.024751546,0.02369133
4.58,0.460535491,0.4576167,0.454896087,0.026007868,0.024841155,0.023776914
4.59,0.459764199,0.456845731,0.454125544,0.026101919,0.024930781,0.023862512
4.6,0.45899591,0.456077765,0.453358002,0.026195988,0.025020423,0.023948126
4.61,0.458230607,0.455312784,0.452593443,0.026290073,0.025110081,0.024033755
4.62,0.457468274,0.454550772,0.451831852,0.026384174,0.025199754,0.024119399
4.63,0.456708892,0.453791711,0.451073211,0.026478293,0.025289444,0.024205057
4.64,0.455952446,0.453035584,0.450317502,0.026572428,0.025379149,0.024290731
4.65,0.455198919,0.452282375,0.449564711,0.026666579,0.02546887,0.02437642
4.66,0.454448293,0.451532067,0.448814818,0.026760747,0.025558606,0.024462123
4.67,0.453700553,0.450784643,0.44806781,0.026854931,0.025648357,0.024547841
